"","fy","fye","month","plan_name","plan_full_name","state","aal","avg_return","avg_opt_benchmark_return","avg_custom_benchmark_return","avg_opt_benchmark_excess","avg_custom_benchmark_excess"
"108",2020,2020-06-30,6,"Arizona State Corrections Officers","Arizona State Corrections Officers Retirement Plan","Arizona",4225989.5,0.0685237913110657,0.0807486595381806,0.0907268360027977,-0.0122248682271149,-0.0222030446917321
"109",2020,2020-06-30,6,"Louisiana Municipal Employees","Louisiana Municipal Employees","Louisiana",1467802.1,0.0362759134407149,0.0457055167305285,0.0907268360027977,-0.00942960328981357,-0.0544509225620828
"110",2020,2020-06-30,6,"Delaware State Employees","Delaware State Employees' Pension Plan","Delaware",11137982,0.0920909801429397,0.0997337303351771,0.0907268360027977,-0.00764275019223737,0.00136414414014197
"111",2020,2020-06-30,6,"TN Political Subdivisions","Tennessee Political Subdivisions Retirement Plan","Tennessee",11192814,0.0887295319250916,0.084012193485816,0.0907268360027977,0.00471733843927558,-0.00199730407770615
"112",2020,2020-12-31,12,"Pennsylvania Municipal","Pennsylvania Municipal Retirement System","Pennsylvania",2601481,0.0917259262980661,0.0839013551814978,0.0908939551627685,0.00782457111656831,0.000831971135297538
"113",2020,2020-06-30,6,"Vermont Municipal Employees","Vermont Municipal Employees","Vermont",1004560.1,0.0681471415323096,0.0905751241725425,0.0907268360027977,-0.0224279826402329,-0.0225796944704881
"114",2020,2020-06-30,6,"Washington LEOFF Plan 2","Washington Law Enforcement Officers and Firefighters Plan 2","Washington",12905000,0.093513589177026,0.0794055074206188,0.0907268360027977,0.0141080817564072,0.00278675317422827
"115",2020,2020-06-30,6,"Washington Teachers Plan 2/3","Washington Teachers Plan 2/3","Washington",18267000,0.093513589177026,0.0794055074206188,0.0907268360027977,0.0141080817564072,0.00278675317422827
"116",2020,2020-08-31,8,"Texas LECOS","Texas Law Enforcement and Custodial Officer Supplemental Retirement Fund","Texas",1609587,0.0821677332986961,0.0804142077901369,0.0961317509923263,0.00175352550855923,-0.0139640176936302
"117",2020,2020-06-30,6,"Oklahoma Police","Oklahoma Police Pension and Retirement System","Oklahoma",2736156,0.0729613129366957,0.105865773913436,0.0907268360027977,-0.0329044609767406,-0.017765523066102
"118",2020,2020-06-30,6,"Oklahoma Fire","Oklahoma Firefighters Pension and Retirement System","Oklahoma",4103055.3,0.0994599745495091,0.084236569781899,0.0907268360027977,0.0152234047676101,0.00873313854671132
"119",2020,2020-06-30,6,"Iowa Municipal Fire and Police","Municipal Fire and Police Retirement System of Iowa","Iowa",3390348.8,0.0823893875905422,0.103914899973779,0.0907268360027977,-0.021525512383237,-0.00833744841225559
