"plan_name","fy","fye","month","plan_full_name","state","aal","mva","arr","return","acwi_ex_us_tr","ru30_tr","bb_us_agg_tr","opt_benchmark_return","conservative_benchmark_return","moderate_benchmark_return","aggressive_benchmark_return","standard_pension_benchmark_return","cum_return","cum_opt_benchmark_return","cum_conservative_benchmark_return","cum_moderate_benchmark_return","cum_aggressive_benchmark_return","cum_standard_pension_benchmark_return","cum_opt_benchmark_excess","cum_conservative_benchmark_excess","cum_moderate_benchmark_excess","cum_aggressive_benchmark_excess","cum_standard_pension_benchmark_excess"
"North Carolina Local Government",2016,2016-06-30,6,"North Carolina Local Governmental Employees' Retirement System","North Carolina",24360120,22759676,0.0725,0.008,-0.0980482380459374,0.0213833449060139,0.0600139056610678,0.0143830505319218,-0.0178325450245768,-0.0208982105801736,-0.0292922786596799,0.00994576354041245,1.71159908303989,1.75450108063952,1.57673338907772,1.60933775488916,1.6187533698507,1.75393928874513,-0.0429019975996372,0.134865693962164,0.102261328150731,0.0928457131891902,-0.0423402057052469
"North Carolina Local Government",2017,2017-06-30,6,"North Carolina Local Governmental Employees' Retirement System","North Carolina",25653606,24703010,0.072,0.1077,0.210016155088853,0.185094577879402,-0.00314643757181821,0.103033563596789,0.119944410107103,0.13878230162721,0.165759083220617,0.112706519225319,1.89593830428328,1.93527357931223,1.76585374532682,1.83268535260824,1.88707644439743,1.95161968091213,-0.0393352750289491,0.130084558956459,0.0632529516750429,0.00886185988585031,-0.0556813766288475
"North Carolina Local Government",2018,2018-06-30,6,"North Carolina Local Governmental Employees' Retirement System","North Carolina",27745868,25982260,0.07,0.0732,0.0778757641767973,0.147781110037703,-0.00397267118848665,0.06285754843206,0.0538608619826271,0.0696773313074986,0.0891752270326425,0.0687250612808259,2.03472098815682,2.05692013205314,1.86096415018538,1.96038197710432,2.05535691475452,2.08574486307968,-0.0221991438963172,0.173756837971442,0.0743390110524953,-0.0206359265977061,-0.0510238749228633
"North Carolina Local Government",2019,2019-06-30,6,"North Carolina Local Governmental Employees' Retirement System","North Carolina",29223126,27135948,0.07,0.0658,0.017993057026908,0.0898250154328315,0.078692481920051,0.0696840887654425,0.052251373426405,0.0538785830200373,0.0536413387516785,0.0686836635916652,2.16860562917754,2.20025473711855,1.95820208292986,2.06600458020872,2.16560901127448,2.22900146159349,-0.0316491079410151,0.210403546247672,0.102601048968814,0.00299661790306027,-0.0603958324159533
"North Carolina Local Government",2020,2020-06-30,6,"North Carolina Local Governmental Employees' Retirement System","North Carolina",30700922,27798634,0.07,0.0435,-0.04389939322137,0.0652956074180986,0.0873965676816888,0.0527679107290129,0.0240609979512242,0.0225931659690779,0.0167691565161886,0.0493526557804107,2.26293997404676,2.31635758266791,2.00531837923532,2.11268216458225,2.20192444773741,2.33900860346155,-0.0534176086211513,0.257621594811437,0.150257809464506,0.0610155263093533,-0.0760686294147859
"North Carolina Local Government",2021,2021-06-30,6,"North Carolina Local Governmental Employees' Retirement System","North Carolina",33485232,32646868,0.065,0.1913,0.362866089519248,0.441644307380201,-0.00333261345495062,0.218947880202081,0.224300720384256,0.269794836913633,0.33012215038403,0.238859895125594,2.69584039108191,2.82351916518307,2.45511273629759,2.68267290462606,2.92882848140765,2.89770395318223,-0.127678774101163,0.24072765478431,0.0131674864558411,-0.232988090325743,-0.201863562100327
"North Carolina Teachers and State Employees",2006,NA,NA,"Teachers' and State Employees' Retirement System of North Carolina","North Carolina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,0,0,0,0,0
"North Carolina Teachers and State Employees",2007,2007-06-30,6,"Teachers' and State Employees' Retirement System of North Carolina","North Carolina",49391908,57785888,0.0725,0.148,0.301480232340266,0.200684890872296,0.0612068895379583,0.157051179658745,0.190283201404487,0.203664912148979,0.225711715872486,0.165984448856179,1.148,1.15705117965875,1.19028320140449,1.20366491214898,1.22571171587249,1.16598444885618,-0.00905117965874558,-0.0422832014044869,-0.0556649121489794,-0.077711715872486,-0.0179844488561793
"North Carolina Teachers and State Employees",2008,2008-06-30,6,"Teachers' and State Employees' Retirement System of North Carolina","North Carolina",52815088,54972032,0.0725,-0.021,-0.0620295339558226,-0.126861472158553,0.0712390941012313,-0.021512094232273,-0.0164118501175647,-0.036873830877222,-0.0629871116985235,-0.0297383913741144,1.123892,1.13216058565036,1.17074845190558,1.15928117574555,1.14850767511464,1.13130994697996,-0.00826858565036392,-0.0468564519055814,-0.0353891757455516,-0.0246156751146369,-0.00741794697996334
"North Carolina Teachers and State Employees",2009,2009-06-30,6,"Teachers' and State Employees' Retirement System of North Carolina","North Carolina",55518744,45421796,0.0725,-0.142,-0.30544226636846,-0.265640719315895,0.0604611883257231,-0.122778032023077,-0.151225954549937,-0.183883636392372,-0.230532942138513,-0.139462783466714,0.964299336,0.993156137010118,0.993700899728299,0.946108337548235,0.883738821701796,0.973534312810557,-0.028856801010118,-0.0294015637282995,0.0181909984517649,0.0805605142982034,-0.00923497681055729
